architecture,activation,learning_rate,dropout,batch_size,weight_decay,neurons_1,neurons_2,val_rmse,val_r2,neurons_3,neurons_4
three_layer,relu,0.0005,0.1,32,0.001,64,32,0.6621905565261841,0.7068103551864624,16.0,
three_layer,relu,0.0005,0.1,32,0.001,64,32,0.6728728413581848,0.6972748041152954,32.0,
two_layer,relu,0.0001,0.1,64,0.0001,128,32,0.6810554265975952,0.6898672580718994,,
three_layer,relu,0.001,0.1,32,1e-05,64,64,0.6905879378318787,0.6811249256134033,32.0,
four_layer,relu,0.001,0.1,64,0.0001,128,32,0.6917644739151001,0.6800374984741211,16.0,16.0
three_layer,relu,0.0005,0.1,32,1e-05,64,32,0.697600245475769,0.6746162176132202,32.0,
three_layer,relu,0.0005,0.1,32,1e-05,128,32,0.6987909078598022,0.6735045909881592,32.0,
three_layer,relu,0.0005,0.3,32,1e-05,64,64,0.7005491256713867,0.6718595027923584,16.0,
two_layer,relu,0.0005,0.1,64,1e-05,64,32,0.7011739015579224,0.671273946762085,,
two_layer,relu,0.001,0.3,32,0.001,128,64,0.7057350873947144,0.6669832468032837,,
two_layer,relu,0.001,0.3,64,0.001,128,32,0.708543598651886,0.6643274426460266,,
three_layer,relu,0.0005,0.1,32,1e-05,128,64,0.7086988687515259,0.6641802787780762,32.0,
three_layer,relu,0.001,0.1,64,0.001,128,64,0.7104066610336304,0.6625599265098572,32.0,
two_layer,relu,0.001,0.3,64,1e-05,128,32,0.7106420993804932,0.6623362302780151,,
four_layer,relu,0.0005,0.1,64,1e-05,64,64,0.7108346819877625,0.6621531248092651,32.0,16.0
two_layer,relu,0.0005,0.1,32,1e-05,64,32,0.7112737894058228,0.6617356538772583,,
four_layer,tanh,0.001,0.1,64,0.0001,128,32,0.7120664715766907,0.6609812378883362,32.0,16.0
three_layer,relu,0.001,0.1,64,0.0001,64,32,0.7121099233627319,0.6609398722648621,16.0,
two_layer,relu,0.001,0.1,32,1e-05,128,64,0.7122248411178589,0.6608304977416992,,
three_layer,relu,0.0005,0.1,32,0.001,64,64,0.7141257524490356,0.6590175628662109,16.0,
two_layer,relu,0.0005,0.3,32,0.001,128,32,0.7144210338592529,0.6587355136871338,,
four_layer,relu,0.0005,0.1,32,1e-05,64,64,0.7146463394165039,0.6585202217102051,16.0,16.0
two_layer,relu,0.0005,0.3,32,0.001,128,64,0.7147628664970398,0.6584088802337646,,
